Summary,Severity
"Intermittent browser/components/places/tests/browser/browser_toolbar_overflow.js | The bookmark node should be visible - """" == ""visible"" - JS frame :: chrome://mochitests/content/browser/browser/components/places/tests/browser/browser_toolbar_overflow.js",normal
browser.tabs.loadBookmarksInTabs doesn't work for smart bookmarks,normal
Let PlacesCommandHook.bookmarkLink open a doorhanger instead of a modal dialog,normal
Folder dropdown section is unusable if it’s expanded again right after a New Folder was created inside the “New Bookmark” dialog,S3
"Bookmark sync never completes, sync icon keeps spinning, bookmarks UI stops functioning and browser hangs at shutdown",normal
Import Chrome's mobile bookmarks when running migration,normal
Race condition in opening the bookmarking popup,normal
Extension menu item in menu on bookmarks toolbar disappears when a submenu is opened,normal
"Dynamically create the ""sidebar"" <browser> when it's needed",normal
"Bookmarks Menu icon disappears in toolbar after clicking ""add Bookmarks Menu to toolbar""",normal
moz-phab is forgetting commit tags and bookmarks,normal
Bookmark star and confirmation animations are played at the same time,normal
Unable to delete a tag: Empty array passed for required input property: urls,normal
Failed to initialize dialog: Error: Cannot use an incomplete node to initialize the edit bookmark panel,normal
Add search shortcuts for bookmarks and open tabs,normal
The bookmark vertical separators are very difficult to select on Mac platform,S3
The new bookmark dialog should use the preview image instead of thumbnail,normal
Replace nsINavBookmarksService::onItemMoved with bookmark-item-moved,normal
Remove onItemVisited notification from Places' bookmarks,normal
Switch to tab does not work for specific links on Bookmarks panel,normal
"Bookmarks Menu toolbar button has notable delay, depending on the number of bookmark items",normal
Bookmarks saved for non-secure sites (http) don't show for secure (https) sites,normal
Fix exception when Bookmarks sidebar is shown and quickly hidden before it finishes loading,normal
New Bookmark option is available inside Tags from Bookmarks Toolbar and returns an empty dialog box,normal
browser.bookmarks.create is orders of magnitude slower than on Chromium,normal
Recent bookmarks cannot be Cut and Pasted,normal
New folder input field in bookmarks doorhanger is vertically too narrow,normal
New tab page - pinned sites sync between machines even when history and bookmarks aren't synced,normal
Bookmark Favicons for some sites do not show unless 'remember history' on.,normal
check origin of dropped data when it contains Places flavors,normal
"Don't log ""0 outgoing items pre-reconciliation"" in the new bookmarks engine",normal
Delete key has no effect on deleting bookmark entry,normal
Consider building the about:library content page,normal
History entries opened in new tabs should stay in the current container,normal
bookmarks.onRemoved event arguments have incorrect values,normal
Problem with 'index' property of bookmarks while creating new bookmarks using Firefox WebExtensions API,normal
"Top Sites is displayed instead of Bookmarks, when returning from Recent Apps",normal
Sync just removed all the keywords for my search-keyword bookmarks,normal
Bookmark with invalid URL prevents any bookmarks from syncing,normal
Entering Bookmark tags is unresponsive,normal
"The Top sites , Bookmarks & History are not centered correctly on high resolution devices",normal
Library sorts by Location on sorting by Name on unnamed bookmarks,normal
Bookmark views don't immediately remove bookmarks with invalid urls,normal
Consider storing the bookmarks mirror as a JSON file instead of a SQLite DB,normal
Focus does not remain on a bookmark that's moved inside bookmark manager (library or sidebar),normal
Container escape by wheelclick/ctrl+click on bookmarklet with javascript:document.location,normal
Crash in [@ AsyncShutdownTimeout | Places Clients shutdown | SyncedBookmarksMirror: finalize],normal
Fix handling of duplicate and missing child GUIDs in the bookmarks mirror,normal
"Unexpected autofilled entries for ""place:"" and ""about:"" bookmarked uris",normal
Return bookmark paths in PlacesUtils.bookmarks.fetch,normal
bookmarks.search() doesn't work for a query string containing URLencoded chars,normal
Bookmarks & History: extremely slow back/forward navigation,normal
"URL is not displayed in status bar when hovering over bookmarks in bookmarks menu, but it is OK when hovering over bookmarks located in a folder within bookmarks menu.",S3
Redesign the history views,normal
Bookmarks menu incorrectly sized on some secondary display topologies,normal
Bookmarks folder name doesn't match with the list after renaming it,normal
Dragging a folder shortcut on the toolbar duplicates the shortcut,normal
Ctrl-Shift-Z in bookmarks sidebar opens debugger instead of redoing changes,normal
Syntax errors in `SyncedBookmarksMirror.jsm` due to on-disk corruption,normal
Bookmarks search - unsorted results order,normal
Bookmarks should ignore refs/anchors,normal
‌[macOS] Improve visibility of the separators on bookmarks toolbar when in dark theme,normal
The New folder input field is overextended if previously a long title one was created,normal
Implement the |bookmarks| API,normal
Pasted URLs Do Not Show Until Folder is Revisited,S3
Fix the vertical alignment of the bookmarks toolbar drag&drop indicator,S4
endless loop with a nested Unfiled Bookmarks shortcut,S3
Tags removed by API call bookmarks.update() when changing URL,S3
Issue with drag & drop a tab,S3
Investigate importing Edgium's collections as bookmarks,S3
Only update the bookmark menu labels when menu panel is shown to avoid busy-work,S3
Open options from the context menu doesn't dismiss the bookmarks doorhanger in some cases,S3
Go to download page option active in Library for some downloaded files,normal
Up and down arrows displayed in Bookmarks menu even when it is impossible to scroll,minor
"Not possible to remove ""Home"" text label from the new Home icon on bookmarks toolbar",normal
Certain icons disappear in Bookmarks Toolbar when no browser window is focused,normal
Changed Tag name doesn't sync,normal
Better handling of conflicting records,normal
"Show new types of bookmarks (separator, livemark, and query) where applicable",normal
"UITour: showMenu(""bookmarks"") opens the submenu instead of the subview in the menu panel",normal
The search panel appears above the bookmarks panel,normal
"Add ""View Pocket List"" to bookmarks sidebar?",normal
Update the bookmarks menu button panel/menu to match photon styling better,trivial
Bookmarks and History subview scrollbar flickers(width changes) while scrolling by mouse,normal
Make bookmarks toolbar items blend in better in the overflow panel,normal
Animation for when bookmarks are removed,normal
Icon of bookmarks toolbar dropzone has no vertical margin,normal
Optimize Bookmarks menu for touch,normal
Optimize Bookmarks Toolbar folder menus for touch,normal
Optimize bookmarks toolbar overflow menu for touch,normal
Add the keyboard shortcut affordance for bookmarks to the PAM,normal
Policy for Deleting Bookmarks,normal
Make keyword bookmarks create new engine,S3
Migrate existing keyword bookmarks,S3
Export bookmarks and history,normal
Bookmarks menu missing when the Bookmarks window has focus,minor
Location bar autocomplete should include / prefer bookmarked URLs and names of bookmarks,normal
Come up with a better way to disable JS and data urls in history,normal
"if a bookmark fails to load, try to find a previous redirect target for it in history",normal
Search/find won't find text in the Description column,normal
Option for Bookmarks Merge on Import,normal
support inline editing of bookmark values,normal
"""A > Z Sort Order"" label is confusing",normal
paste menu item is disabled but I can still paste,normal
should be able to rename bookmark items with pressing F2,normal
make sorting changes in places/library (session) persistent,minor
Availability to use different column sets for special folders in Library,normal
when sorting by name in the Library put folders before bookmarks,normal
Favicons are not affected by a hard refresh,normal
Support diagonal dragging through bookmarks menus (was:Bookmarks submenu is closed immediately during dragging),normal
Add bookmark dialog: Two folders/directories with same name not distinguishable in quick list,normal
No tooltip for folders on bookmark toolbar,normal
Add a folder column to search results for bookmarks in the library,normal
"Add ""Open Enclosing Folder"" context menu to search results of bookmarks in the Library window (link to view/open containing folder, parent folder button)",normal
Dragging a folder from the Library to browser content or location bar results in strange effects,normal
"New Places queries (aka smart folders, aka smart bookmarks) don't take effect until new window / restart",major
"""Bookmark this paragraph"", remembering scroll position",normal
History By Date is not *really* By Date,normal
Star Panel Folder Drop Down List is to Narrow to Completely Display Bookmarks Toolbar and Unsorted Bookmarks (truncated),normal
Bookmark details persist during search,normal
Support canonical URL with one-click bookmarking,normal
[Mac] No context menu for bookmarks from native menubar,normal
Dragging & dropping bookmarks into nautilus doesn't work,normal
Pass in parentId if we have it to avoid extra db lookups,normal
(Option to) always sort by name,normal
Bookmarking long URLs (/javascript) are truncated without warning,normal
"Move ""View Bookmarks Toolbar"" to the Bookmarks Toolbar sub-menu",normal
Unable to drop bookmarks onto folder in right panel if a column is sorted,normal
Double clicking in an empty area in the Bookmarks Library loads the selected bookmark,normal
query folders dragged from bookmarks toolbar overflow to visible toolbar get borked,normal
Clicking a bookmark from the bookmarks toolbar WHILE opening a new tab will change to the bookmarked site without being able to return to the originally targeted site ('Go back one page' button is greyed out).,minor
Bookmarks are added at the beginning of the list after performing sync,normal
Remove workarounds for bug 803255 once it's fixed,normal
[meta] Incremental two-phase bookmark sync for Android Sync,normal
Provide search functionality over bookmarks and their folders (from the bookmarks menu),normal
[Mac] Missing icons of Bookmarks Menu and Submenu when no windows opened (or library window is selected),trivial
make bookmarks toolbar the bookmark menu to simplify things like chrome,normal
'Illegal value' when calling method: [nsISessionStore::getClosedTabCount] when clicking History menu,trivial
bookmarks menu has too many separators,normal
Middle & right click in the bookmarks menu gives same result as left click,normal
Empty Show More Bookmarks Arrow on Toolbar cutting off Bookmarks,minor
favicon doesn't show up when a version is given in the url,normal
PlacesUtils.bookmarks is undefined when syncing,normal
Error decrypting record: No ciphertext: nothing to decrypt?,normal
"In bookmarks menu, no items can be dragged between 2 separators with nothing between them",normal
(Half-)Automatic updating of bookmark properties if website changes url,normal
remember sort order in history window,normal
[Linux] History  panel is not completely displayed after successive clicking on the history button.,normal
No way to sort bookmarks listed under tags,normal
Bookmark folder contents won't show up if their title is too long when looking in bookmark menus,normal
Bookmarks Menu collapses when collapsing a bookmark folder,normal
new bookmark loading tab does not grab URL,normal
Do not add default bookmarks for Marketplace and AMO in guest profiles,normal
[meta]Remove synchronous bookmarks API,normal
[UX] Design Spike: Incorporating a global history into Firefox,normal
New bookmarks sometimes go to the bottom of the list,normal
Selected menu item loses highlight,normal
"when i search history, i want to see the websites around it",normal
Addresses that resolve to a 301 should have their address updated to reflect new location,normal
We want a better bookmark manager!,normal
"Entry ""Open All in Tabs"" doesn't appear immediately once a folder gets 2 entries by dragging an item into it (requires closing and reopening the subfolder)",normal
Visit Count functionality is broken,normal
URLs are percent-encoded and therefore do not match bookmarked URLs. Pages are also bookmarked with percent-encoded URLs.,normal
Consider re-enabling title-editing for folder shortcuts,normal
Firefox Sync mixes up sort order of bookmarks in Unsorted Bookmarks folder,normal
History sidebar: show visit date in tooltip,normal
Make bookmark UI work with full-page plugins,normal
Firefox does not warn when importing bookmark file that has bookmarklets,normal
Opening the context menu for a bookmark folder while another has still its submenu open does close the context menu,normal
"Bookmarks with about:reader locations are not shown at all in the ""Most Visited"" smart folder",normal
Submenu gets borked after all bookmarks in it are deleted,minor
"Context menu entry ""Sort By Name"" should be greyed out on folders with less than 2 bookmarks",minor
Right Click -> 'Bookmark All Tabs' shouldn't bookmark about:newtab pages,normal
Crash Bookmarks Menu: Script: chrome://browser/content/places/browserPlacesViews.js:271,normal
Copy & paste (or drag & drop) Bookmarks folder will fail between 2 instances of browser (aka profiles),normal
"""Import bookmarks and history"" should be disabled or warn if no data is available",normal
Opening the context menu on a bookmark does not cause the link on the bottom to vanish,normal
Broken folder tree in edit this bookmark menu,normal
Bookmarking a URL that redirects to something else results in a null bookmark,normal
[meta] Migrate reading list to bookmarks,normal
Open and delete bookmarks by ID instead of by URL when possible.,normal
Smart keyword bookmark created without favicon,minor
"Since very last update to 43.0.4 bookmarks display goes back to top after print preview of a selected bookmark, and the bookmark is no longer highlighted.",normal
Add sorting capability to bookmarks,normal
"Create a ""Recent bookmarks"" smart folder",normal
Add favicons to BookmarkScreenshotRow,normal
Right click and left click have the same behavior  when you use them on a bookmark site,normal
"When downloading a specific file, screenshots are added to bookmarks",normal
improve asian language support in bookmarks/history query and search results,normal
Consider adding bookmarks API method to get ID of standard/common folders,normal
Contextual hint about offline bookmarks is not displayed,normal
[meta] Make all bookmarks syncable,normal
Incremental sync follow up: database-backed bookmarks buffer,normal
"Add domains table, with domain_id FK in history/bookmarks (and combined)",normal
[meta] Speed and performance of importing bookmarks from JSON or HTML files is awful,major
fillBHTooltip should crop title and do better about determining whether title / url are different (maybe only for recently closed tabs),normal
"Bookmarks panel: extra button ""Open All in Tabs"" appears in bookmarks folders after switching to Customize",normal
Bookmarks sidebar scrolls up by 1 item after drag and drop of any item,normal
Cancel button doesn't work if I create new bookmark in more than 1 window,normal
It's possible to accidentally close wrong bookmarks folder by clicking on folder's dropmarker,normal
Fennec Bookmark Management: Allow users to delete multiple bookmarks and folders at once,normal
Fennec Bookmark Management: Allow users to move multiple bookmarks and folders from within 1 folder to 1 other folder,normal
Pressing Ctrl+D (Bookmark page) too quickly after Undo Close Tab causes prompt to add about:blank to favorites,minor
Implement bookmarks on Android,normal
Issues with bookmarks added via Context Menu,normal
Contextual hint about offline bookmarks for bookmarked pages,normal
"about:home with focus on ""Bookmarks"" panel after adding a page to reading list",normal
Favicon is not displaying in Bookmarks Toolbar (MacOS),normal
Dragging Bookmark Folders in Bookmark toolbar is difficult and undiscoverable,normal
Keep bookmarks order consistent between different platforms,normal
Crash in  [@ java.lang.IllegalArgumentException: at android.database.DatabaseUtils.readExceptionFromParcel(DatabaseUtils.java)],critical
command/control clicking a bookmark folder opens the folder and the tabs,normal
Dropping bookmarks folder to Tab Bar to open all bookmarks from folder is broken,major
"History, Bookmarks and Open tabs checkbox buttons in privacy settings can be selected/deselected just by clicking adjacent to the checkbox field.",major
Don't validate bookmarks on android if telemetry is off,normal
Intermittent browser/components/migration/tests/unit/test_IE_bookmarks.js |  - Got all the expected parents - 1 == 0,normal
Inconsistency menupopup scroll UI between Bookmarks toolbutton and history toolbutton,normal
Position misplacement of bookmarks menu,normal
Ctrl-Enter on bookmark item should leave menu open if browser.bookmarks.openInTabClosesMenu set to false,normal
"The menu item ""Bookmarks"" opens a window named ""Library"" - what?",normal
Inconsistent pull down menu alignment between bookmarks folder and chevron. And pull down menu of bookmarks folder is too close to the its folder,trivial
[meta] Improve performance of bookmarks batch operations with Async Transactions,major
"Allow quickly locating a Bookmark Toolbar item in the ""Library"" - FF57 prevents doing this via extension",normal
The history and bookmarks expand/collapse buttons are heavy responsive,normal
"The arrow next to the ""Bookmarks"" text is slightly moved when the sidebar is resized",normal
The 'star drop' animation should be applied to the 'bookmarks menu button' instead of or in addition to the 'library button' if 'bookmarks menu button' is added to the toolbar,normal
Bookmarks toolbar reorder should behave like tab reorder,normal
Bookmark Manager Location Column URL Sort is Simply Alphabetical,normal
More bookmarks >> chevron shows empty 1x1 pixel menu when Bookmarks Toolbar Items is on the navigation toolbar,normal
Provide preference to change default folder for saving bookmarks,normal
Add option for the size of labels in bookmark toolbar,normal
sidebar ignores first click when window not in focus,normal
bookmarks.search()  treats an empty title string as if it were undefined,normal
browser.tabs.loadBookmarksInTabs setting should be an option in FF general options and not only in about:config,normal
[meta] Add automated tests for Bookmarks functionality,normal
Provide a better history UI,normal
Firefox duplicate bookmarks from distribution.ini on version upgrade,normal
Allow 2 rows of bookmarks in bookmark toolbar,normal
Add mouse-over to show properties of bookmark/bookmark folder in bookmark toolbar,normal
Add option to update bookmarks in background,normal
add a bookmarks.show() function to focus a bookmark in the UI,normal
Bookmarks and Addons bar are moved under Overflow Menu after removing multiple newly created bookmarks in a row.,normal
browser.tabs.loadBookmarksInTabs: Bookmark context menu has wrong default item,trivial
collapse in bookmarks sidebar may cause unexpected folder expanded/collapsed,normal
"Add option to create new bookmark folder in library using ""Ctrl+Shift+N""",normal
Favicons do not initially appear on tabs after refreshing profile,normal
[Intermitent] If a bookmarked is changed into a specific website the bookmark icon is not highlighted.,normal
Request to hide favicons on bookmarks bar to save space,normal
Back button of library doesn't re-select the selected bookmark / revert scroll position,normal
Star panel - Recent folders repeat themselves if bookmark star is clicked multiple times before it appears.,normal
Allow the star panel to select the last used folder when bookmarking,normal
[meta] Synced bookmarks mirror simplifications,normal
Library Back button takes time to go back with lots of bookmarks,normal
Bookmark via URL drag & drop onto the Bookmarks Toolbar doesn't work in the bottom of the section,normal
The highlight line does not disappear when dragging&dropping websites into bookmarks sidebar,normal
Blue border is on the [Done] button and [Remove Bookmark] button,trivial
"Extra menu border is rendered to ""Show your bookmarks"" toolbar button menu",minor
Library provides no feedback that a batch bookmark move is in progress,normal
Library does not enforce proper sequencing of cursor and delete key reactions,normal
Show star icon for the top search result from bookmarks when typing into the address bar,normal
add contextMenu.create() context for bookmarks folders in toolbar,normal
Timeout for bookmark popup too short if using mousekeys,normal
"On the history window, search field can be truncated",normal
[meta] Remove nsNavBookmarks.cpp and merge with nsNavHistory / Bookmarks.jsm,normal
Allow searching for bookmarks only within a specific folder,normal
Search drop-down list is mixed up if the user has less than five bookmarks,minor
"Add icons to ""View/Hide Bookmarks Toolbar"" and ""View/Hide Bookmarks Sidebar"" items",normal
Intermittent browser/components/places/tests/browser/browser_click_bookmarks_on_toolbar.js | Found node on toolbar - null != null - JS frame :: chrome://mochitests/content/browser/browser/components/places/tests/browser/browser_click_bookmarks_on_toolbar.,normal
Bookmark context menu open from right-click on bottom of bookmark sidebar or library,normal
(disabled)Intermittent browser_sidebarpanels_click.js | Test timed out followed by thousands of other errors,normal
Bookmark's tags in the Library Tags column are sorted dissonantly,normal
bookmarks overflow icon placed on toolbar after resolution change,minor
Show suggestions from the history of previously entered tags when clicking on the Tags field in the bookmark star (Ctrl+D) floating window,normal
Navigating away from a bookmarked about:newtab causes the bookmark page action icon to flash blue,normal
Frecency recalculation query in bookmarks mirror takes over 6 seconds,normal
"""Library"" window lacks 'smooth scrolling' when you use a mouse wheel",normal
The bookmarks bar is not recalculated after installing an extension,normal
Selection of text in bookmarks in New Bookmarks' Name field offset,normal
New Bookmark Panel/Edit Bookmark Panel  is cut off for some screen resolutions/dpi ratios when expand folder pane and tags pane,normal
"Suddenly, The position of the scroll arrow drastically shifts when mouse down and hold on scroll down arrow of scrollbar of library right side pane",normal
favicon mismatch with tab icon and bookmark icon,normal
Not reusing blank tab when opening a few bookmarks at once,normal
Select content search field in bookmarks library after keyboard shortcut,minor
It should be possible to create a bookmark that remembers the container used for it,normal
[Ubuntu] The columns inside Library don’t properly re-adjust after new ones are enabled,minor
Auto-fetching favicons in bookmarks toolbar,normal
"Bookmarks library menu should have ""import and backup tools"" as a menu entry",normal
focus does not go to filtered bookmark list from filter input field with TAB in the bookmarks sidebar,normal
"The thumbnails from top sites, bookmarks and history panels are not displayed anymore after accessing ""https://m.size.co.uk""",normal
Right clicking Properties on “Bookmarks Toolbar” or  “Other Bookmarks” from Bookmarks Menu opens a empty dialog box,normal
"Intermittent TV tier 2 browser/components/places/tests/chrome/test_treeview_date.xhtml,test_treeview_date.xul | Date format is correct - got ""2/21/19, 12:00 AM"", expected ""12:00 AM""",normal
History should show which devices accessed each URL.,normal
[::1] favicon doesn't show up in bookmarks,normal
windows/aarch64 - browser/components/places/tests/chrome/test_bug1163447_selectItems_through_shortcut.xul | uncaught exception - NS_ERROR_ILLEGAL_VALUE: Component returned failure code: 0x80070057 (NS_ERROR_ILLEGAL_VALUE),normal
updating the priority of a bookmark in Bookmarks menu,normal
Bookmark properties should show folder location,normal
Bookmarks items context menu shares general Delete entry and access key,normal
Edit bookmark button is not functional in pdf presentation mode,normal
Within tag substring matching is no longer working,normal
Should be able to open bookmarks/history into specific containers,normal
"""Undo""/""Redo"" for Bookmarks is not discoverable",minor
Bookmarks toolbar menu closing doesn't behave like other menus,normal
Allow searching for history by selected time slot,normal
Deleting large amount of bookmarks and folders hangs/locks/freezes Mozilla Firefox completely for some time,major
Folder shortcuts should have some kind of indicator on the icon that they are symlinks,critical
[macOS] Bookmarks context menu options disabled after deleting a bookmark and swapping between windows,normal
Impossible to add bookmarks into existing folder,major
"Hide/Omit also shown ""www."" in ""Name"" column in Library in unnamed bookmarks",normal
Bookmark dropdown  - creating multiple New folders pushes tree out of bounds,minor
Content of about:downloads/Downloads in Library flickers/blinks/flashes on scrolling,normal
Intermittent browser/base/content/test/tabs/browser_multiselect_tabs_drag_to_bookmarks_toolbar.js | Uncaught exception - waiting for 2 bookmarks - timed out after 50 tries.,normal
Bookmarked Google Maps's favicon uses Google's default one instead,normal
Bookmarks manager: sorting order lost when switching folder,normal
Bookmarks favicons may be expired in some cases,critical
Last item of Bookmark drop down list inaccessible,normal
"Misleading error message ""The bookmarks and history system will not be functional""",normal
Restoring bookmarks may use a lot of memory if history limits are removed,normal
Can’t use MacOS emoji picker when editing bookmark via URL bar star icon,normal
"""Add Bookmark"" dialog resizes inconsistently when expanding/collapsing the tag selector",normal
Add last visited time to history entries tooltip in the sidebar,normal
Increase the height of the Bookmarksbar - Looks a bit squeezed compared to Tabstrip or Toolbar,normal
The Favicons on the Bookmarks Bar flicker when starting Firefox or opening a new Window,normal
browser.bookmarks.autoExportHTML = true doesn't work,normal
Feature request: put most recently created folder at the top of the list when adding a new bookmark.,normal
ubuntu1804 - browser/base/content/test/tabs/browser_multiselect_tabs_drag_to_bookmarks_toolbar.js | Found an unexpected browser window at the end of test run -,normal
make possible to keep or automatically archive old history,normal
Autofill for bookmarks in adressbar lost bookmark-star and bookmark-name,normal
Bookmarks window unusable on small/moderate screens with larger fonts,normal
The site preview is not displayed the bookmark is made via context meniu,normal
New bookmarks engine should use watchdogs when storing records in the mirror,normal
WebExtension bookmarks context menu in library window has some bugs,S4
IDN homograph domain bookmark should use homograph as location instead of punny code,S4
Dragging middle mouse button over history items opens an invalid tab,S3
Intermittent TV browser/components/places/tests/browser/browser_enable_toolbar_sidebar.js | uncaught exception - ReferenceError: PlacesUIUtils is not defined at onunload@chrome://browser/content/places/bookmarksSidebar.xhtml:1:1,normal
Intermittent TV browser/components/places/tests/browser/browser_toolbar_library_downloads.js | Test timed out -,normal
Intermittent browser/components/places/tests/browser/browser_bookmark_menu_ctrl_click.js | application terminated with exit code -6,normal
Edit This Bookmark pop-up sometimes appears in the wrong place,S4
Clicking enter to select a folder in the folder picker doesn't close the picker,S3
Improve the “The bookmarks and history system will not be functional because one of Firefox's files is in use by another application.” message,S4
Address bar does not display all bookmarks for a given tag,S4
Intermittent browser/components/places/tests/browser/browser_addBookmarkForFrame.js | Test timed out -,normal
Star panel is not resizable,normal
Localized default bookmarks bust the build with ' in the bookmarks names,normal
make history timestamps accurate to within 1 second,normal
Seamonkey should support spotlight search for bookmarks,normal
bookmarks in full screen,normal
Mail headers or bookmarks are not displayed with the fonts specified for the corresponding language,normal
non-ASCII characters should be decoded in the Bookmarks dialogs,normal
Add automated test to verify Bookmarks Menu Panel options,normal
Automatically update bookmarks when sites move/disappear.,normal
Expand selected sub-tree into higher level (Explode folder),normal
scrolling menus aren't ideal for large bookmarks lists,normal
Hide last Bookmarks menuseparator if user deletes all bookmarks,trivial
Need UI for importing IE Favorites bookmarks,normal
Clicking on a history sidebar column header three times should sort by newest first,normal
Sorting should treat bookmarks separated by separators as different groups,normal
different icons for bookmarklets and normal bookmarks,normal
Arrows not disappearing when reaching the top or bottom of a scrollable menu (eg bookmarks),normal
history sidebar:  pages that set the title dynamically need to change order,normal
Add/File/Manage bookmark should be fixed while bookmarks scroll,normal
expand/collapse all bookmarks,normal
"should be able to drag bookmark folder to desktop to create folder containing .url files, and vice versa",normal
Dialog listing all custom keywords with ability to manage them.,normal
"different icon per protocol (eg urlbar, bookmarks) for pages that don't have a favorite icon",normal
Favicons for folders,normal
Find  can't find folders,normal
bookmark menu saved scroll position not reset for deleted bookmarks,normal
favicon for 304 redirects dont' work in bookmarks,normal
Custom keywords should support multiple substitutions (w/ code),normal
Scroll Arrows inside Bookmarks menu are blurry in Modern,minor
username/password dialog when having favicons from password protected sites in bookmarks,normal
"(partially fixed) Ctrl+Ins, Shift+Del and Shift+Ins don't work in Bookmarks Manager (copy, cut, paste)",normal
File Bookmarks dialog needs a help button,normal
Ability to sort Filters into Folders (like with Bookmarks),normal
"When offline, bookmark entries should reflect status in cache.",normal
No visual confirmation saving a bookmark (Ctrl+Shift+D),normal
Bookmarks should not save password in URL,normal
Bookmark keywords not supported at the command line,normal
Add a Bookmarks Toolbar or set bookmark root as `Personal Toolbar Folder'.,normal
Problem when Home/End keys are pressed while mouse is over a submenu (also for Bookmarks),normal
bookmarks tab not being added to my sidebar,major
manage bookmarks disappears from menu if the list is long,normal
xp focus behavior inconsistent on open from manage bookmarks,minor
Bookmark Manager buttons don't work when focus is in Search box,normal
Can't replace the home page group by D&D of single page,normal
Drag and drop of group of tabs bookmark from sidebar or menu doesn't load bookmark,minor
"Allow ""File Bookmark"" to select and replace a bookmark",normal
Control-scroll mouse should resize fonts in about:config and bookmarks manager,normal
Contextual menu item to create bookmark or copy link to any HTML element with id or name attribute,normal
add bookmarks to location textbox look ahead,normal
Modifying bookmarks fails silently if bookmarks file is not writable,normal
Option to name a bookmark before creation by drag-n-drop of a url,normal
opening a chatzilla bookmark while a page is loading in the current tab stops the loading,minor
keyboard shortcut to 'Bookmark this group of tabs',normal
"Context menu: ""File Bookmark using selected text as Name...""",normal
Bookmarking URL javascript: via File Bookmark or Drag and Drop to Personal Toolbar doesn't work,trivial
drag and drop to a Bookmarks window might fail or be difficult if dropped below the end of list,normal
Personal Toolbar hides too many bookmarks at right [multizilla},normal
Preserve sort order when migrating bookmarks from IE,normal
%s in keyword replacements encodes special characters as URL instead of as POST,minor
LDAP:// URLs do not bookmark,normal
wyciwyc added to bookmarked url,normal
"BFT: ""Select new tabs opened from bookmarks or history"" option does not exist any more [Firefox new Options window]",minor
"Add UI for the ""browser.tabs.loadBookmarksInBackground"" pref (select new tabs opened from bookmarks)",trivial
channel and server joins missing from history,normal
Allow user to sort selected bookmarks,normal
trunk template builder incorrectly processes non-Places bookmarks template,normal
CTRL+D opens file bookmark dialog instead of directly adding the bookmark,normal
Make Bookmarks Toolbar have the same overflow functions as the Tab Bar,normal
Tab reflow / bookmarks toolbar could be a little smoother when resizing,normal
Vertical position of bookmarks items change when hovering the mouse over them,trivial
Bookmarks toolbar: clicking button while popup menu still open fails to register as click on button,minor
"when migrating from IE, don't import default IE bookmarks if we can determine that the user hasn't used IE (or IE's bookmarks?)",normal
"Sidebars (history, bookmarks) should not have maximum width",minor
Item spacing increases in bookmark menu,minor
Use a url bar feed icon without dropmarker,normal
custom buttons in the bookmarks toolbar shouldn't make the bar taller,normal
Drag/dropping bookmarks from Bookmarks Toolbar drop-down menu to Bookmarks Toolbar duplicates bookmark temporary,minor
Dragging Mouse while in a Scrolled Folder in the Bookmarks Bar Opens the Wrong Folder,normal
"chevron overflow menu on the bookmarks toolbar doesn't go to the edge of the screen, making it disappear when trying to drag and drop something along the screen edge",minor
Sidebar state (Bookmarks/History) not saved on shutdown.,normal
manually-specified charset from bookmarks should override the HTTP header charset,normal
Arrows in bookmarks menu are no longer vertically aligned after landing of bug 433109,trivial
browser.tabs.loadInBackground and browser.tabs.loadBookmarksInBackground could be one pref,normal
"Drop down arrows in the bookmarks toolbar are native, but they appear too large for the toolbar size",normal
Port Personal Toolbar dropmarker to SeaMonkey from Firefox,minor
Assign special icons for different bookmarks schemes,normal
Bookmarks toolbar items don't load on startup,normal
Create consistent padding on all sides/margins of the contextual bookmarks dialog/panel,normal
Bookmarks toolbar expands 1 px when Menu Bar is set to show,trivial
"With menu bar hidden, can not drag and drop to Bookmarks menu.",normal
"When opening multiple tabs, the 'loadBookmarksInBackground' pref is ignored",normal
"Be consistent with ""Clear"" buttons in History pref panel",normal
Chekbox state of Bookmarks toolbar should not be able to change in the case of the window where a toolbar cannot be open or shut,minor
Import of IE bookmarks have .URL extension,normal
"When the Bookmarks Toolbar is moved to the Menu line, its original space is left blank",minor
"If you place a large number of bookmarks in a folder, then go to Bookmarks ▸ (folder name) ▸ ""open all in tabs,"" sometimes they won't open.",minor
"toolbar items, including bookmarks toolbar and add-on buttons, placed on auto-hide menubar do not work.",normal
Bookmarks toolbar 'moves' out of the screen.,normal
SeaMonkey missing a rule to always make icons show in Go/History menus on Ubuntu: port bug 508221,normal
Adjust help for changes with places bookmarks landing,normal
Adjust Bookmarks Button styling and icons to match mockups,normal
Long scrolled Bookmarks menu scroll-up a line immediately when mouse move to dropdown after open the menu,normal
Bookmarks toolbar should be above tabs with tabs on top,normal
Internationalized URLs are stored incorrectly,normal
Put items for search scopes into menu to expose command keys,normal
"Replace term ""Personal Toolbar"" by ""Bookmarks Toolbar"" in Help",normal
bookmarks toolbar should be above navigation bar if tabs on top is true,normal
full screen mode (F11): Menu Bar and Bookmarks Toolbar are not visible,normal
"empty list ""Show more bookmarks"" appears with ""Bookmarks Toolbar Items"" in Navigation Bar",minor
